date,realtime_end,realtime_start,value
1983-11-01,2019-09-15,2019-09-15,101.1
1983-12-01,2019-09-15,2019-09-15,101.4
1984-01-01,2019-09-15,2019-09-15,102.1
1984-02-01,2019-09-15,2019-09-15,102.6
1984-03-01,2019-09-15,2019-09-15,102.9
1984-04-01,2019-09-15,2019-09-15,103.3
1984-05-01,2019-09-15,2019-09-15,103.5
1984-06-01,2019-09-15,2019-09-15,103.7
1984-07-01,2019-09-15,2019-09-15,104.1
1984-08-01,2019-09-15,2019-09-15,104.4
1984-09-01,2019-09-15,2019-09-15,104.7
1984-10-01,2019-09-15,2019-09-15,105.1
1984-11-01,2019-09-15,2019-09-15,105.3
1984-12-01,2019-09-15,2019-09-15,105.5
1985-01-01,2019-09-15,2019-09-15,105.7
1985-02-01,2019-09-15,2019-09-15,106.3
1985-03-01,2019-09-15,2019-09-15,106.8
1985-04-01,2019-09-15,2019-09-15,107.0
1985-05-01,2019-09-15,2019-09-15,107.2
1985-06-01,2019-09-15,2019-09-15,107.5
1985-07-01,2019-09-15,2019-09-15,107.7
1985-08-01,2019-09-15,2019-09-15,107.9
1985-09-01,2019-09-15,2019-09-15,108.1
1985-10-01,2019-09-15,2019-09-15,108.5
1985-11-01,2019-09-15,2019-09-15,109.0
1985-12-01,2019-09-15,2019-09-15,109.5
1986-01-01,2019-09-15,2019-09-15,109.9
1986-02-01,2019-09-15,2019-09-15,109.7
1986-03-01,2019-09-15,2019-09-15,109.1
1986-04-01,2019-09-15,2019-09-15,108.7
1986-05-01,2019-09-15,2019-09-15,109.0
1986-06-01,2019-09-15,2019-09-15,109.4
1986-07-01,2019-09-15,2019-09-15,109.5
1986-08-01,2019-09-15,2019-09-15,109.6
1986-09-01,2019-09-15,2019-09-15,110.0
1986-10-01,2019-09-15,2019-09-15,110.2
1986-11-01,2019-09-15,2019-09-15,110.4
1986-12-01,2019-09-15,2019-09-15,110.8
1987-01-01,2019-09-15,2019-09-15,111.4
1987-02-01,2019-09-15,2019-09-15,111.8
1987-03-01,2019-09-15,2019-09-15,112.2
1987-04-01,2019-09-15,2019-09-15,112.7
1987-05-01,2019-09-15,2019-09-15,113.0
1987-06-01,2019-09-15,2019-09-15,113.5
1987-07-01,2019-09-15,2019-09-15,113.8
1987-08-01,2019-09-15,2019-09-15,114.3
1987-09-01,2019-09-15,2019-09-15,114.7
1987-10-01,2019-09-15,2019-09-15,115.0
1987-11-01,2019-09-15,2019-09-15,115.4
